Player ID;Player name;Era;Good;Amount;Message;Date/Time
848909743;megas maik;08 - Industrial Age;Οπτάνθρακας;16;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;08 - Industrial Age;Λίπασμα;16;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;08 - Industrial Age;Καουτσούκ;16;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;08 - Industrial Age;Υφάσματα;16;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;08 - Industrial Age;Λίπος φάλαινας;16;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Αμίαντος;1;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Εκρηκτικά;1;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Μέρη μηχανών;1;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Βενζίνη;1;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Λευκοσίδηρος;1;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Αμίαντος;32;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Εκρηκτικά;32;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Μέρη μηχανών;32;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Βενζίνη;32;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Λευκοσίδηρος;32;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Αμίαντος;12;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Εκρηκτικά;12;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Μέρη μηχανών;12;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Βενζίνη;12;Παραγωγή κτιρίου;σήμερα στις 2:55 am
848909743;megas maik;09 - Progressive Era;Λευκοσίδηρος;12;Παραγωγή κτιρίου;σήμερα στις 2:55 am
703315;δημητρης67;11 - Postmodern Era;Γονιδιωματικά στοιχεία;14;Παραγωγή κτιρίου;σήμερα στις 2:53 am
703315;δημητρης67;11 - Postmodern Era;Βιομηχανικά φίλτρα;14;Παραγωγή κτιρίου;σήμερα στις 2:53 am
703315;δημητρης67;11 - Postmodern Era;Ανανεώσιμες πηγές;14;Παραγωγή κτιρίου;σήμερα στις 2:53 am
703315;δημητρης67;11 - Postmodern Era;Ημιαγωγοί;14;Παραγωγή κτιρίου;σήμερα στις 2:53 am
703315;δημητρης67;11 - Postmodern Era;Ατσάλι;14;Παραγωγή κτιρίου;σήμερα στις 2:53 am
703315;δημητρης67;07 - Colonial Age;Καφές;2;Παραγωγή κτιρίου;σήμερα στις 2:43 am
703315;δημητρης67;07 - Colonial Age;Χαρτί;2;Παραγωγή κτιρίου;σήμερα στις 2:43 am
703315;δημητρης67;07 - Colonial Age;Πορσελάνη;2;Παραγωγή κτιρίου;σήμερα στις 2:43 am
703315;δημητρης67;07 - Colonial Age;Πίσσα;2;Παραγωγή κτιρίου;σήμερα στις 2:43 am
703315;δημητρης67;07 - Colonial Age;Σύρμα;2;Παραγωγή κτιρίου;σήμερα στις 2:43 am
623707;Αριστέα;14 - Future Era;Άλγη ;166;Παραγωγή κτιρίου;σήμερα στις 2:31 am
